rpm, Nm, lb-ft, kW, PS, hp,
1000, 220, 162.2, 23, 31.3, 30.9,
1100, 250, 184.4, 28.8, 39.2, 38.6,
1200, 275, 202.8, 34.6, 47, 46.3,
1300, 296.2, 218.4, 40.3, 54.8, 54,
1400, 314.3, 231.8, 46.1, 62.7, 61.7,
1500, 330, 243.4, 51.8, 70.5, 69.5,
1600, 343.8, 253.5, 57.6, 78.3, 77.2,
1700, 355.9, 262.5, 63.4, 86.2, 84.9,
1800, 366.7, 270.4, 69.1, 94, 92.6,
1900, 376.3, 277.5, 74.9, 101.8, 100.3,
2000, 385, 283.9, 80.6, 109.7, 108.1,
2100, 392.9, 289.7, 86.4, 117.5, 115.8,
2200, 400, 295, 92.2, 125.3, 123.5,
2300, 406.5, 299.8, 97.9, 133.2, 131.2,
2400, 412.5, 304.2, 103.7, 141, 138.9,
2500, 418, 308.3, 109.4, 148.8, 146.6,
2600, 423.1, 312, 115.2, 156.7, 154.4,
2700, 427.8, 315.5, 121, 164.5, 162.1,
2800, 432.1, 318.7, 126.7, 172.3, 169.8,
2900, 436.2, 321.7, 132.5, 180.2, 177.5,
3000, 440, 324.5, 138.2, 188, 185.2,
3100, 443.5, 327.1, 144, 195.8, 192.9,
3200, 446.9, 329.6, 149.8, 203.7, 200.7,
3300, 450, 331.9, 155.5, 211.5, 208.4,
3400, 452.9, 334, 161.3, 219.3, 216.1,
3500, 455.7, 336.1, 167, 227.2, 223.8,
3600, 458.3, 338, 172.8, 235, 231.5,
3700, 460.8, 339.8, 178.5, 242.8, 239.3,
3800, 463.2, 341.6, 184.3, 250.7, 247,
3900, 465.4, 343.2, 190.1, 258.5, 254.7,
4000, 467.5, 344.8, 195.8, 266.3, 262.4,
4100, 469.5, 346.2, 201.6, 274.2, 270.1,
4200, 471.4, 347.6, 207.3, 282, 277.8,
4300, 473.3, 349, 213.1, 289.9, 285.6,
4400, 475, 350.3, 218.9, 297.7, 293.3,
4500, 474.7, 350.1, 223.7, 304.2, 299.8,
4600, 474, 349.6, 228.3, 310.5, 306,
4700, 472.7, 348.6, 232.7, 316.4, 311.8,
4800, 470.9, 347.3, 236.7, 321.9, 317.2,
4900, 468.6, 345.6, 240.5, 327, 322.2,
5000, 465.8, 343.5, 243.9, 331.7, 326.8,
5100, 462.5, 341.1, 247, 335.9, 331,
5200, 458.7, 338.3, 249.8, 339.7, 334.7,
5300, 454.3, 335, 252.2, 342.9, 337.9,
5400, 449.5, 331.5, 254.2, 345.7, 340.6,
5500, 444.1, 327.5, 255.8, 347.9, 342.8,
5600, 438.2, 323.2, 257, 349.5, 344.4,
5700, 428.8, 316.2, 256, 348.1, 343,
5800, 416.3, 307, 252.9, 343.9, 338.8,
5900, 401, 295.7, 247.8, 337, 332,
6000, 382.8, 282.3, 240.5, 327.1, 322.3,
